,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
0,1,1,OWNER,monthly issuance,950324,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,28,True,701213,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
1,2,2,OWNER,monthly issuance,930226,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
3,4,3,OWNER,monthly issuance,970707,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,42,False,561201,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
5,6,4,OWNER,monthly issuance,960221,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,79,False,190922,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
6,7,5,OWNER,monthly issuance,970530,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,69,False,290125,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
7,8,6,OWNER,monthly issuance,940927,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,60,True,380221,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
8,9,7,OWNER,monthly issuance,961124,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,63,False,351016,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
9,10,8,OWNER,monthly issuance,950921,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,55,False,430501,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
11,12,9,OWNER,monthly issuance,930127,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,17,False,810220,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
12,13,10,OWNER,monthly issuance,960828,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,24,True,740529,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
13,14,11,OWNER,monthly issuance,951010,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,56,True,420622,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
14,15,12,OWNER,monthly issuance,970415,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,80,True,180828,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
16,17,13,OWNER,monthly issuance,970817,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,64,False,341013,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
18,19,14,OWNER,monthly issuance,961127,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,56,False,421228,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
19,20,15,OWNER,monthly issuance,931002,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,19,False,790104,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
20,21,16,OWNER,monthly issuance,970923,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,46,True,521029,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
21,22,17,OWNER,monthly issuance,970108,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,29,True,691011,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
23,24,18,OWNER,weekly issuance,930526,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,59,True,390729,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
24,25,19,OWNER,monthly issuance,950407,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
25,26,20,OWNER,monthly issuance,960824,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,29,True,690420,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
26,27,21,OWNER,monthly issuance,971206,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,32,True,660326,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
27,28,22,OWNER,monthly issuance,940323,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450929,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
28,29,23,OWNER,monthly issuance,930522,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,47,True,510911,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
29,30,24,OWNER,monthly issuance,961205,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,41,True,571009,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
30,31,25,OWNER,monthly issuance,960728,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,36,False,620209,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
31,32,26,OWNER,monthly issuance,930808,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,18,False,800728,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
32,33,27,OWNER,monthly issuance,930926,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,50,True,481204,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
33,36,29,OWNER,monthly issuance,941124,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,20,True,780717,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
35,38,30,OWNER,monthly issuance,950304,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,25,True,730723,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
36,39,31,OWNER,monthly issuance,940427,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,30,False,680125,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
37,40,32,OWNER,monthly issuance,950828,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,41,True,570122,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
38,41,33,OWNER,monthly issuance,930826,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,30,False,680827,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
39,42,34,OWNER,weekly issuance,930917,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,63,False,350817,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
40,43,35,OWNER,monthly issuance,930707,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,78,False,201028,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
41,44,36,OWNER,monthly issuance,930701,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,True,770111,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
42,45,37,OWNER,monthly issuance,970818,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,46,False,520826,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
43,46,38,OWNER,weekly issuance,970808,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,58,True,400130,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
44,47,39,OWNER,monthly issuance,930922,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,64,False,340714,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
