,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
0,1,1,OWNER,monthly issuance,950324,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,28,True,701213,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
1,2,2,OWNER,monthly issuance,930226,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450204,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
2,3,2,DISPONENT,monthly issuance,930226,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,58,True,401009,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
3,4,3,OWNER,monthly issuance,970707,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,42,False,561201,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
4,5,3,DISPONENT,monthly issuance,970707,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,38,True,600703,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
5,6,4,OWNER,monthly issuance,960221,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,79,False,190922,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
6,7,5,OWNER,monthly issuance,970530,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,69,False,290125,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
7,8,6,OWNER,monthly issuance,940927,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,60,True,380221,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
8,9,7,OWNER,monthly issuance,961124,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,63,False,351016,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
9,10,8,OWNER,monthly issuance,950921,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,55,False,430501,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
10,11,8,DISPONENT,monthly issuance,950921,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,48,True,500822,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
11,12,9,OWNER,monthly issuance,930127,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,17,False,810220,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
12,13,10,OWNER,monthly issuance,960828,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,24,True,740529,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
13,14,11,OWNER,monthly issuance,951010,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,56,True,420622,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
14,15,12,OWNER,monthly issuance,970415,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,80,True,180828,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
15,16,12,DISPONENT,monthly issuance,970415,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,79,False,190225,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
16,17,13,OWNER,monthly issuance,970817,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,64,False,341013,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
17,18,13,DISPONENT,monthly issuance,970817,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,67,True,310405,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
18,19,14,OWNER,monthly issuance,961127,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,56,False,421228,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
19,20,15,OWNER,monthly issuance,931002,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,19,False,790104,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
20,21,16,OWNER,monthly issuance,970923,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,46,True,521029,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
21,22,17,OWNER,monthly issuance,970108,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,29,True,691011,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
22,23,17,DISPONENT,monthly issuance,970108,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,25,False,730529,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
23,24,18,OWNER,weekly issuance,930526,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,59,True,390729,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
24,25,19,OWNER,monthly issuance,950407,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,59,True,390423,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
25,26,20,OWNER,monthly issuance,960824,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,29,True,690420,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
26,27,21,OWNER,monthly issuance,971206,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,32,True,660326,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
27,28,22,OWNER,monthly issuance,940323,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,False,450929,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
28,29,23,OWNER,monthly issuance,930522,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,47,True,510911,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
29,30,24,OWNER,monthly issuance,961205,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,41,True,571009,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
30,31,25,OWNER,monthly issuance,960728,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,36,False,620209,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
31,32,26,OWNER,monthly issuance,930808,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,18,False,800728,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
32,33,27,OWNER,monthly issuance,930926,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,50,True,481204,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
33,36,29,OWNER,monthly issuance,941124,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,20,True,780717,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
34,37,29,DISPONENT,monthly issuance,941124,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,28,False,700810,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
35,38,30,OWNER,monthly issuance,950304,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,25,True,730723,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
36,39,31,OWNER,monthly issuance,940427,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,30,False,680125,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
37,40,32,OWNER,monthly issuance,950828,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,41,True,570122,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
38,41,33,OWNER,monthly issuance,930826,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,30,False,680827,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
39,42,34,OWNER,weekly issuance,930917,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,63,False,350817,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
40,43,35,OWNER,monthly issuance,930707,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,78,False,201028,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
41,44,36,OWNER,monthly issuance,930701,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,True,770111,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
42,45,37,OWNER,monthly issuance,970818,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,46,False,520826,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
43,46,38,OWNER,weekly issuance,970808,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,58,True,400130,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
44,47,39,OWNER,monthly issuance,930922,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,64,False,340714,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
45,48,40,OWNER,monthly issuance,931025,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,58,False,400209,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
46,49,41,OWNER,monthly issuance,970802,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,39,True,590511,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
47,50,42,OWNER,monthly issuance,960816,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,20,True,780730,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
48,51,43,OWNER,monthly issuance,940612,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,19,True,791202,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
49,52,44,OWNER,monthly issuance,930510,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,74,False,241212,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
50,53,45,OWNER,monthly issuance,970902,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,21,False,770505,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
51,55,47,OWNER,monthly issuance,930808,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,50,True,480918,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
52,56,48,OWNER,monthly issuance,961117,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,38,False,600331,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
53,57,48,DISPONENT,monthly issuance,961117,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,37,True,611217,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
54,58,49,OWNER,monthly issuance,970406,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,71,True,270429,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
55,59,50,OWNER,monthly issuance,940506,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,False,570218,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
56,60,51,OWNER,monthly issuance,960511,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,18,False,800219,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
57,61,52,OWNER,monthly issuance,970129,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,50,True,480806,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
58,62,53,OWNER,monthly issuance,950607,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,66,False,321208,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
59,63,54,OWNER,monthly issuance,950502,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,39,False,590604,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
60,64,55,OWNER,monthly issuance,960219,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,72,False,260422,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
61,65,56,OWNER,monthly issuance,940516,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,55,True,430527,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
62,66,57,OWNER,monthly issuance,950521,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,47,True,511110,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
63,67,58,OWNER,monthly issuance,960823,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,66,True,321111,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
64,68,59,OWNER,monthly issuance,940327,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,52,False,461214,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
65,70,61,OWNER,monthly issuance,931211,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,73,False,251222,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
66,71,61,DISPONENT,monthly issuance,931211,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,71,True,270206,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
67,72,62,OWNER,monthly issuance,930328,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,75,False,230113,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
68,73,63,OWNER,monthly issuance,961116,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,74,False,240220,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
69,74,63,DISPONENT,monthly issuance,961116,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,73,True,250726,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
70,75,64,OWNER,monthly issuance,970311,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,21,True,770919,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
71,76,65,OWNER,monthly issuance,961029,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,31,True,671001,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
72,77,66,OWNER,issuance after transaction,931203,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,42,True,560218,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
73,78,67,OWNER,monthly issuance,941019,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,54,True,440613,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
74,79,68,OWNER,issuance after transaction,941220,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,29,True,690310,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
75,80,69,OWNER,monthly issuance,960112,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,19,True,790225,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
76,81,70,OWNER,monthly issuance,950218,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,22,False,760429,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
77,82,70,DISPONENT,monthly issuance,950218,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,19,True,791225,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
78,83,71,OWNER,monthly issuance,940305,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,True,781225,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
79,84,71,DISPONENT,monthly issuance,940305,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,19,False,790505,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
80,85,72,OWNER,weekly issuance,960620,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,37,False,610827,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
81,86,72,DISPONENT,weekly issuance,960620,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,29,True,690720,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
82,87,73,OWNER,monthly issuance,931108,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,52,True,461117,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
83,89,75,OWNER,monthly issuance,950813,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,47,True,510505,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
84,90,76,OWNER,monthly issuance,960516,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,23,False,750817,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
85,91,77,OWNER,monthly issuance,961119,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,58,False,400807,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
86,92,78,OWNER,monthly issuance,930707,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,32,True,660612,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
87,93,79,OWNER,monthly issuance,961129,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,73,False,250216,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
88,94,80,OWNER,monthly issuance,950927,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,51,False,470909,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
89,95,80,DISPONENT,monthly issuance,950927,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,46,True,520803,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
90,96,81,OWNER,monthly issuance,960718,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,26,False,720229,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
91,97,82,OWNER,monthly issuance,940503,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,33,False,651128,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
92,98,83,OWNER,monthly issuance,930416,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,25,True,730504,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
93,99,83,DISPONENT,monthly issuance,930416,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,25,False,730126,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
94,100,84,OWNER,issuance after transaction,951225,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,56,True,420811,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
