loan_id,loan_date,loan_value,loan_duration,payments,loan_success,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 ,card_type,card issue,no. of transactions,balance,nr_movements,min_trans_amount,max_trans_amount,avg_trans_amount,min_balance,max_balance,avg_balance
5895,970103,93960,60,1566,,monthly issuance,951009,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,6.43,2.89,132,1358.0,2122,36,False,620601,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,6.43,2.89,132,1358.0,2122,no card,0,19700.0,49548.5,89.0,14.6,36637.5,8051.737078651681,800.0,88246.7,54520.202247190966
7122,970104,260640,36,7240,,monthly issuance,950902,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,6.43,1.25,100,1358.0,1117,49,True,490121,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,6.43,1.25,100,1358.0,1117,no card,0,12284.0,11565.4,78.0,4.6,41871.0,6935.733333333331,-718.6,88731.8,31518.18205128206
6173,970108,232560,48,4845,,issuance after transaction,950419,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,6.43,1.71,135,1358.0,6295,59,True,390427,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,6.43,1.71,135,1358.0,6295,no card,0,2692.0,45754.0,176.0,45.7,43605.0,7217.385795454545,200.0,79286.6,40175.61250000004
6142,970121,221880,60,3698,,monthly issuance,960316,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,6.43,3.97,149,1358.0,2487,55,True,430929,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,6.43,3.97,149,1358.0,2487,no card,0,323.0,41785.4,71.0,2.0,33280.0,6430.80985915493,1000.0,74216.8,44440.91267605629
5358,970121,38520,12,3210,,monthly issuance,950604,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,6.43,2.94,87,1358.0,1668,59,False,391206,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,6.43,2.94,87,1358.0,1668,no card,0,2520.0,13994.3,114.0,14.6,8800.0,2373.266666666668,900.0,31302.0,20231.313157894707
6095,970124,68340,60,1139,,monthly issuance,950518,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,6.43,5.05,109,1358.0,5892,45,False,530316,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,6.43,5.05,109,1358.0,5892,no card,0,14600.0,46156.7,114.0,14.6,36463.5,9042.84736842105,500.0,71564.8,41735.420175438565
6878,970124,23184,12,1932,,monthly issuance,960315,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,19,True,790726,57,south Moravia,161954,21,37,20,3,8,48.0,8720,6.43,4.5,116,1358.0,3651,no card,0,1600.0,42501.4,58.0,14.6,11748.0,2701.503448275863,200.0,48344.0,36729.80172413791
6554,970129,390096,48,8127,,monthly issuance,960819,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,6.43,2.31,117,1358.0,2618,20,False,780926,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,6.43,2.31,117,1358.0,2618,no card,0,23500.0,44278.0,16.0,43.5,36178.0,13992.375,900.0,77467.0,44346.15625
6793,970130,186300,60,3105,,weekly issuance,960101,63,south Moravia,86513,38,36,5,1,5,50.5,8288,6.43,4.52,110,1358.0,1460,51,False,471116,63,south Moravia,86513,38,36,5,1,5,50.5,8288,6.43,4.52,110,1358.0,1460,no card,0,5600.0,26264.0,119.0,5.9,63700.0,12880.9243697479,200.0,170682.8,62765.86554621852
7286,970131,67320,36,1870,,monthly issuance,950920,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,6.43,4.43,118,1358.0,3040,26,False,720126,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,6.43,4.43,118,1358.0,3040,no card,0,1200.0,19757.5,111.0,14.6,16833.0,3749.468468468468,200.0,43949.4,26491.780180180227
