account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
1787,930705,96396,12,8033,-1,2166,weekly issuance,930322,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,51,True,470722,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
5428,930924,174744,24,7281,-1,6551,monthly issuance,930414,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,50,True,480812,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
6034,931201,464520,60,7742,-1,7291,weekly issuance,930319,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,58,True,401202,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
10266,931223,75624,24,3151,-1,12317,monthly issuance,930610,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,40,False,581207,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
8073,940217,49320,12,4110,-1,9665,issuance after transaction,930903,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,53,True,451003,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
10131,940502,215388,36,5983,-1,12156,monthly issuance,931127,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,39,False,591217,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
6473,940526,76908,12,6409,-1,7815,monthly issuance,930126,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,52,True,460119,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
5927,940606,87216,48,1817,-1,7166,monthly issuance,931126,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,34,False,640513,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
5442,940617,174744,24,7281,-1,6567,monthly issuance,930322,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,20,True,781121,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
6051,940708,276660,36,7685,-1,7311,monthly issuance,930828,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,49,False,490518,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
426,940719,252060,60,4201,-1,512,monthly issuance,931129,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,33,True,650803,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
790,940724,208128,48,4336,-1,946,monthly issuance,930511,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,47,False,510806,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
2176,940730,299088,36,8308,-1,2635,monthly issuance,930606,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,32,True,661210,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
7824,940928,189696,24,7904,-1,9367,monthly issuance,940517,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,28,True,700219,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
8566,940929,230220,36,6395,-1,10258,monthly issuance,931008,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,56,True,421109,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1106,941112,192552,24,8023,-1,1327,weekly issuance,930829,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,35,True,631231,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
1527,941119,164052,36,4557,-1,1851,issuance after transaction,931117,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,23,True,750912,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
10451,941219,482940,60,8049,-1,12551,monthly issuance,930829,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,True,760521,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
3166,950103,177744,48,3703,-1,3829,monthly issuance,930810,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,26,False,720313,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
