,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success
0,5314,1787,930705,96396,12,8033,-1
1,5316,1801,930711,165960,36,4610,1
2,6863,9188,930728,127080,60,2118,1
3,5325,1843,930803,105804,36,2939,1
4,7240,11013,930906,274740,60,4579,1
5,6687,8261,930913,87840,24,3660,1
6,7284,11265,930915,52788,12,4399,1
7,6111,5428,930924,174744,24,7281,-1
8,7235,10973,931013,154416,48,3217,1
9,5997,4894,931104,117024,24,4876,1
10,7121,10364,931110,21924,36,609,1
11,6077,5270,931122,79608,24,3317,1
12,6228,6034,931201,464520,60,7742,-1
13,6356,6701,931208,95400,36,2650,1
14,5523,2705,931208,93888,36,2608,1
15,6456,7123,931209,47016,12,3918,1
16,7104,10320,931213,259740,60,4329,1
17,6820,9034,931216,38148,12,3179,1
18,6876,9236,931221,86616,12,7218,1
19,7097,10266,931223,75624,24,3151,-1
20,4959,2,940105,80952,24,3373,1
21,6499,7401,940105,80952,24,3373,1
22,5479,2486,940110,24516,12,2043,1
23,5170,1071,940120,253200,60,4220,1
24,6721,8475,940121,21072,24,878,1
25,7259,11111,940131,108144,36,3004,1
26,5285,1603,940206,78936,12,6578,1
27,5189,1166,940207,149040,48,3105,1
28,6650,8073,940217,49320,12,4110,-1
29,7226,10940,940223,197748,36,5493,1
30,6087,5313,940227,300660,60,5011,1
31,7262,11135,940301,182628,36,5073,1
32,5519,2694,940308,91632,12,7636,1
33,6577,7753,940311,51696,24,2154,1
34,6509,7445,940315,55368,24,2307,1
35,6520,7485,940316,91200,24,3800,1
36,6699,8330,940330,7656,24,319,1
37,6336,6555,940331,212400,36,5900,1
38,7055,10079,940406,167100,60,2785,1
39,6103,5385,940407,149340,60,2489,1
40,6202,5891,940418,65184,12,5432,1
41,7066,10131,940502,215388,36,5983,-1
42,6696,8321,940509,89040,60,1484,1
43,6072,5256,940510,193968,36,5388,1
44,5130,813,940511,24312,12,2026,1
45,5568,2933,940517,272520,60,4542,1
46,6678,8173,940520,80340,12,6695,1
47,6998,9833,940521,97632,12,8136,1
48,6580,7769,940522,196080,48,4085,1
49,6316,6473,940526,76908,12,6409,-1
50,6512,7454,940526,63312,48,1319,1
51,6407,6930,940526,25944,24,1081,1
52,5002,173,940531,104808,12,8734,1
53,6647,8051,940601,208320,48,4340,1
54,7137,10439,940603,151560,24,6315,1
55,6903,9337,940604,52128,24,2172,1
56,5918,4576,940604,300204,36,8339,1
57,6642,8027,940605,77640,12,6470,1
58,6210,5927,940606,87216,48,1817,-1
59,6279,6273,940607,87360,24,3640,1
60,7249,11065,940612,69360,48,1445,1
61,6736,8558,940614,288360,60,4806,1
62,6112,5442,940617,174744,24,7281,-1
63,5319,1811,940623,239460,60,3991,1
64,6596,7844,940625,91584,24,3816,1
65,5837,4260,940629,244560,60,4076,1
66,5657,3354,940705,4980,12,415,1
67,5533,2762,940705,111384,24,4641,1
68,6232,6051,940708,276660,36,7685,-1
69,6888,9265,940711,39576,12,3298,1
70,6066,5228,940711,173808,24,7242,1
71,5549,2824,940716,50460,60,841,1
72,5060,426,940719,252060,60,4201,-1
73,6004,4937,940723,143904,24,5996,1
74,5126,790,940724,208128,48,4336,-1
75,7220,10911,940728,131292,36,3647,1
76,6668,8129,940730,74736,36,2076,1
77,5395,2176,940730,299088,36,8308,-1
78,6836,9093,940803,189300,60,3155,1
79,6064,5215,940804,14628,12,1219,1
80,6919,9403,940805,120888,36,3358,1
81,6841,9104,940807,172080,48,3585,1
82,6038,5120,940810,323472,48,6739,1
83,6729,8519,940811,74688,12,6224,1
84,7198,10788,940823,45768,12,3814,1
85,6686,8260,940825,224604,36,6239,1
86,5836,4259,940827,79632,24,3318,1
87,7061,10105,940827,121896,24,5079,1
88,5595,3050,940902,82896,12,6908,1
89,5723,3674,940910,23628,12,1969,1
90,6120,5481,940911,209184,48,4358,1
91,6895,9307,940919,41904,12,3492,1
92,5882,4427,940926,87816,12,7318,1
93,5754,3834,940928,23052,12,1921,1
94,6594,7824,940928,189696,24,7904,-1
95,6738,8566,940929,230220,36,6395,-1
96,6624,7965,940930,71460,12,5955,1
97,6216,5952,940930,141240,24,5885,1
98,6229,6040,941002,11736,24,489,1
99,5887,4448,941003,192744,36,5354,1
100,6808,8982,941012,227880,36,6330,1
101,6297,6363,941025,17508,12,1459,1
102,5161,1012,941028,98184,24,4091,1
103,5390,2167,941030,170256,24,7094,1
104,6150,5622,941102,83016,12,6918,1
105,6223,5991,941103,61056,48,1272,1
106,5032,290,941103,123696,48,2577,1
107,6253,6148,941104,59760,24,2490,1
108,6460,7133,941106,48672,36,1352,1
109,6645,8041,941106,140400,36,3900,1
110,5176,1106,941112,192552,24,8023,-1
111,5269,1527,941119,164052,36,4557,-1
112,5351,1978,941204,205200,36,5700,1
113,5861,4337,941208,51408,24,2142,1
114,5450,2345,941211,199680,60,3328,1
115,7142,10451,941219,482940,60,8049,-1
116,6306,6425,941220,36684,12,3057,1
117,6272,6226,941220,398640,60,6644,1
118,5044,344,941221,100980,60,1683,1
119,5576,2962,941221,31248,12,2604,1
120,7192,10738,941221,115992,36,3222,1
121,5739,3747,950102,76380,12,6365,1
122,6526,7523,950103,288468,36,8013,1
123,5624,3166,950103,177744,48,3703,-1
124,6244,6118,950108,270648,36,7518,-1
125,5131,816,950108,48624,24,2026,1
126,6960,9640,950111,76416,24,3184,1
127,6358,6715,950114,137880,60,2298,-1
128,5418,2245,950116,347952,48,7249,1
129,6598,7857,950118,68112,12,5676,1
130,5464,2419,950130,95808,12,7984,1
131,6591,7819,950202,20832,48,434,1
132,5724,3678,950205,316140,60,5269,-1
133,6315,6472,950206,43164,12,3597,1
134,5876,4413,950208,221280,48,4610,1
135,6986,9750,950211,151728,48,3161,-1
136,6294,6353,950212,79920,60,1332,1
137,5132,817,950217,538500,60,8975,1
