,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
0,5314,1787,930705,96396,12,8033,-1,2166,OWNER,weekly issuance,930322,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,51,True,470722,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1,5316,1801,930711,165960,36,4610,1,2181,OWNER,monthly issuance,930213,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,30,False,680722,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
2,6863,9188,930728,127080,60,2118,1,11006,OWNER,monthly issuance,930208,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,62,False,360602,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
3,5325,1843,930803,105804,36,2939,1,2235,OWNER,monthly issuance,930130,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,58,True,400420,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
4,7240,11013,930906,274740,60,4579,1,13231,OWNER,weekly issuance,930214,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,False,780907,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
5,6687,8261,930913,87840,24,3660,1,9892,OWNER,monthly issuance,930512,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,18,True,800216,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
6,7284,11265,930915,52788,12,4399,1,13537,OWNER,monthly issuance,930114,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,25,False,730216,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
7,6111,5428,930924,174744,24,7281,-1,6551,OWNER,monthly issuance,930414,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,50,True,480812,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
8,7235,10973,931013,154416,48,3217,1,13182,OWNER,weekly issuance,930420,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,29,True,690525,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
9,5997,4894,931104,117024,24,4876,1,5911,OWNER,monthly issuance,930620,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,63,False,351003,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
