account_id,loan_date,amount,loan_duration,payments,loan_success,account_frequency,account_creation,account_district no. of inhabitants,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '96 ,age,women,client_district no. of inhabitants,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '96 ,card_type,card_issue_date
1787,930705,96396,12,8033,-1,weekly issuance,930322,94812,81.8,9650,3.67,100,2804,51,True,94812,81.8,9650,3.67,100,2804,,
1801,930711,165960,36,4610,1,monthly issuance,930213,112709,73.5,8369,2.31,117,2618,30,False,112709,73.5,8369,2.31,117,2618,,
9188,930728,127080,60,2118,1,monthly issuance,930208,77917,53.5,8390,2.89,132,2122,62,False,77917,53.5,8390,2.89,132,2122,,
1843,930803,105804,36,2939,1,monthly issuance,930130,107870,58.0,8754,4.31,137,3868,58,True,177686,74.8,10045,1.71,135,6295,,
11013,930906,274740,60,4579,1,weekly issuance,930214,1204953,100.0,12541,0.43,167,99107,20,False,86513,50.5,8288,4.52,110,1460,,
8261,930913,87840,24,3660,1,monthly issuance,930512,53921,41.3,8598,3.26,123,1875,18,True,53921,41.3,8598,3.26,123,1875,,
8261,930913,87840,24,3660,1,monthly issuance,930512,53921,41.3,8598,3.26,123,1875,18,True,53921,41.3,8598,3.26,123,1875,,
11265,930915,52788,12,4399,1,monthly issuance,930114,58796,51.9,9045,3.6,124,1879,25,False,58796,51.9,9045,3.6,124,1879,,
5428,930924,174744,24,7281,-1,monthly issuance,930414,122603,80.0,8991,2.01,128,5273,50,True,122603,80.0,8991,2.01,128,5273,,
10973,931013,154416,48,3217,1,weekly issuance,930420,70699,65.3,8968,3.35,131,1910,29,True,70699,65.3,8968,3.35,131,1910,,
4894,931104,117024,24,4876,1,monthly issuance,930620,177686,74.8,10045,1.71,135,6295,63,False,177686,74.8,10045,1.71,135,6295,,
10364,931110,21924,36,609,1,monthly issuance,930117,157042,33.9,8743,2.43,111,3894,38,False,157042,33.9,8743,2.43,111,3894,,
10364,931110,21924,36,609,1,monthly issuance,930117,157042,33.9,8743,2.43,111,3894,38,False,157042,33.9,8743,2.43,111,3894,,
5270,931122,79608,24,3317,1,monthly issuance,930113,105606,53.0,8254,3.76,97,2325,28,False,105606,53.0,8254,3.76,97,2325,,
6034,931201,464520,60,7742,-1,weekly issuance,930319,77963,51.5,8546,4.02,126,3120,58,True,148545,53.5,8909,5.56,113,3590,,
6701,931208,95400,36,2650,1,weekly issuance,930315,75685,60.8,8208,2.26,155,2123,27,False,95616,51.4,9307,4.43,118,3040,,
2705,931208,93888,36,2608,1,issuance after transaction,930705,86513,50.5,8288,4.52,110,1460,48,True,86513,50.5,8288,4.52,110,1460,,
7123,931209,47016,12,3918,1,issuance after transaction,930414,197099,74.7,9624,2.31,145,4265,41,True,112709,73.5,8369,2.31,117,2618,,
10320,931213,259740,60,4329,1,monthly issuance,930711,228848,57.2,9893,4.72,96,5887,19,False,228848,57.2,9893,4.72,96,5887,,
9034,931216,38148,12,3179,1,monthly issuance,930628,1204953,100.0,12541,0.43,167,99107,33,True,1204953,100.0,12541,0.43,167,99107,,
9236,931221,86616,12,7218,1,monthly issuance,930818,75637,36.5,9622,0.59,154,3529,37,False,75637,36.5,9622,0.59,154,3529,,
10266,931223,75624,24,3151,-1,monthly issuance,930610,387570,100.0,9897,1.96,140,18696,40,False,387570,100.0,9897,1.96,140,18696,,
2,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
2,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
7401,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
7401,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
